Month Name,Month,Year,Query Count,Query Text,Month Num,RANK,,,,,,,,,,
September,,2017,201,Nashville,,124,,,,,,,,,,
November,,2018,201,codes,,124,,,,,,,,,,
January,1,2019,201,ESS,,124,,,,,,,,,,
January,1,2020,200,human resources,,127,,,,,,,,,,
May,,2017,199,employment,,128,,,,,,,,,,
October,,2017,199,property tax,,128,,,,,,,,,,
August,,2018,199,Nashville,,128,,,,,,,,,,
May,,2018,198,Nashville,,131,,,,,,,,,,
August,,2017,197,accident report,,132,,,,,,,,,,
March,,2017,196,Naza,,133,,,,,,,,,,
March,,2018,196,accident report,,133,,,,,,,,,,
March,,2017,195,opportunity now,,135,,,,,,,,,,
May,,2018,195,employment,,135,,,,,,,,,,
September,,2018,195,2019 annual enrollment employees,,135,,,,,,,,,,
March,,2017,194,property tax,,138,,,,,,,,,,
August,,2017,194,employment,,138,,,,,,,,,,
October,,2017,194,ebid,,138,,,,,,,,,,
May,,2018,194,election results,,138,,,,,,,,,,
October,10,2019,194,Human Resources,,138,,,,,,,,,,
August,8,2019,193,HUMAN RESOURCES,,143,,,,,,,,,,
June,,2017,192,codes,,144,,,,,,,,,,
October,,2017,192,property taxes,,144,,,,,,,,,,
November,,2018,192,civil service,,144,,,,,,,,,,
July,7,2019,192,ess,,144,,,,,,,,,,
May,,2014,191,property maps,,148,,,,,,,,,,
January,,2018,191,property tax,,148,,,,,,,,,,
July,7,2019,191,payroll,,148,,,,,,,,,,
October,,2014,190,ebid,,151,,,,,,,,,,
April,,2017,190,codes,,151,,,,,,,,,,
March,,2018,190,property tax,,151,,,,,,,,,,
September,9,2019,190,Employee self service,,151,,,,,,,,,,
April,,2018,189,maps,,155,,,,,,,,,,
April,,2017,188,employment,,156,,,,,,,,,,
June,,2017,188,pay plan,,156,,,,,,,,,,
March,,2018,188,maps,,156,,,,,,,,,,
November,,2014,187,ebid,,159,,,,,,,,,,
June,,2017,187,accident report,,159,,,,,,,,,,
May,,2018,187,accident report,,159,,,,,,,,,,
May,,2018,187,ebid,,159,,,,,,,,,,
June,,2014,186,property maps,,163,,,,,,,,,,
September,,2017,186,2018 annual enrollment employees,,163,,,,,,,,,,
August,,2018,186,maps,,163,,,,,,,,,,
October,,2018,186,ess,,163,,,,,,,,,,
February,,2014,185,property taxes,,167,,,,,,,,,,
October,,2017,185,ess,,167,,,,,,,,,,
March,,2018,185,codes,,167,,,,,,,,,,
September,9,2019,185,human resources,,167,,,,,,,,,,
September,,2014,184,property maps,,171,,,,,,,,,,
July,,2017,184,ess,,171,,,,,,,,,,
January,,2018,184,jobs,,171,,,,,,,,,,
September,,2014,183,ebid,,174,,,,,,,,,,
September,,2014,183,annual enrollment,,174,,,,,,,,,,
January,,2018,183,Nashville,,174,,,,,,,,,,
May,,2018,183,codes,,174,,,,,,,,,,
July,,2014,182,ebid,,178,,,,,,,,,,
July,,2017,182,ebid,,178,,,,,,,,,,
November,,2017,182,Nashville,,178,,,,,,,,,,
August,,2018,182,sheriff,,178,,,,,,,,,,
September,,2016,181,maps,,182,,,,,,,,,,
May,,2018,181,ess,,182,,,,,,,,,,
February,2,2020,181,codes,,182,,,,,,,,,,
February,,2015,180,ebid,,185,,,,,,,,,,
April,,2015,180,animal control,,185,,,,,,,,,,
July,,2017,180,Nashville,,185,,,,,,,,,,
October,,2017,180,dcso,,185,,,,,,,,,,
December,,2017,179,accident report,,189,,,,,,,,,,
November,11,2019,179,ESS,,189,,,,,,,,,,
September,,2014,178,jobs,,191,,,,,,,,,,
May,,2017,178,civil service,,191,,,,,,,,,,
September,,2017,178,jobs,,191,,,,,,,,,,
May,,2018,177,employee self service,,194,,,,,,,,,,
October,,2018,177,Nashville,,194,,,,,,,,,,
August,8,2019,177,payroll,,194,,,,,,,,,,
January,1,2020,177,employee self service,,194,,,,,,,,,,
July,,2017,176,open data,,198,,,,,,,,,,
May,5,2019,176,jobs,,198,,,,,,,,,,
August,,2018,175,payroll,,200,,,,,,,,,,
January,1,2019,175,employee self service,,200,,,,,,,,,,
March,,2016,174,employment,,202,,,,,,,,,,
April,,2017,174,accident report,,202,,,,,,,,,,
June,,2017,174,public works,,202,,,,,,,,,,
March,,2018,174,police,,202,,,,,,,,,,
July,,2018,174,accident report,,202,,,,,,,,,,
October,,2018,174,codes,,202,,,,,,,,,,
March,3,2019,174,human resources,,202,,,,,,,,,,
May,5,2019,174,Codes,,202,,,,,,,,,,
March,,2017,173,jobs,,210,,,,,,,,,,
January,,2018,173,maps,,210,,,,,,,,,,
July,,2018,173,maps,,210,,,,,,,,,,
April,,2015,172,ebid,,213,,,,,,,,,,
April,,2017,172,jobs,,213,,,,,,,,,,
August,,2017,172,property maps,,213,,,,,,,,,,
September,,2017,172,ebid,,213,,,,,,,,,,
July,,2017,171,criminal court clerk,,217,,,,,,,,,,
August,,2017,171,police,,217,,,,,,,,,,
September,,2018,171,codes,,217,,,,,,,,,,
January,1,2019,171,Jobs,,217,,,,,,,,,,
October,10,2019,171,Payroll,,217,,,,,,,,,,
October,10,2019,171,PROPERTY MAPS,,217,,,,,,,,,,
December,,2014,170,media releases,,223,,,,,,,,,,
December,,2017,170,civil service,,223,,,,,,,,,,
April,,2018,170,codes,,223,,,,,,,,,,
October,,2018,170,employment,,223,,,,,,,,,,
July,,2017,169,pay plan,,227,,,,,,,,,,
July,,2017,169,employment,,227,,,,,,,,,,
January,,2018,169,dcso,,227,,,,,,,,,,
January,1,2019,169,Payroll,,227,,,,,,,,,,
February,2,2019,169,jobs,,227,,,,,,,,,,
May,5,2019,169,payroll,,227,,,,,,,,,,
June,,2015,168,ebid,,233,,,,,,,,,,
September,,2017,168,codes,,233,,,,,,,,,,
August,,2018,168,property maps,,233,,,,,,,,,,
November,,2018,168,longevity,,233,,,,,,,,,,
April,4,2019,168,codes,,233,,,,,,,,,,
December,,2014,167,places to go,,238,,,,,,,,,,
August,,2017,167,payroll,,238,,,,,,,,,,
August,,2018,167,police,,238,,,,,,,,,,
September,,2018,167,ess,,238,,,,,,,,,,
April,,2015,166,property maps,,242,,,,,,,,,,
July,,2015,166,ebid,,242,,,,,,,,,,
April,,2017,166,naza,,242,,,,,,,,,,
July,,2017,166,jobs,,242,,,,,,,,,,
January,,2018,166,ebid,,242,,,,,,,,,,
July,,2018,166,codes,,242,,,,,,,,,,
August,,2018,166,employment,,242,,,,,,,,,,
October,,2018,166,maps,,242,,,,,,,,,,
February,2,2019,166,property taxes,,242,,,,,,,,,,
March,3,2020,166,ESS,,242,,,,,,,,,,
March,,2014,165,jobs,,252,,,,,,,,,,
July,,2015,165,jobs,,252,,,,,,,,,,
August,,2017,165,zoning,,252,,,,,,,,,,
January,,2018,165,ess,,252,,,,,,,,,,
June,6,2019,165,human resources,,252,,,,,,,,,,
June,,2017,164,police,,257,,,,,,,,,,
April,,2018,164,property taxes,,257,,,,,,,,,,
November,,2018,164,maps,,257,,,,,,,,,,
March,3,2020,164,codes,,257,,,,,,,,,,
August,,2014,163,property maps,,261,,,,,,,,,,
January,,2015,163,property maps,,261,,,,,,,,,,
February,,2017,163,zoning,,261,,,,,,,,,,
July,,2017,163,employee self service,,261,,,,,,,,,,
December,12,2019,163,ess,,261,,,,,,,,,,
April,,2017,162,ebid,,266,,,,,,,,,,
April,,2018,162,early voting,,266,,,,,,,,,,
May,5,2019,162,human resources,,266,,,,,,,,,,
April,,2017,161,Naza,,269,,,,,,,,,,
May,,2018,161,opportunity now,,269,,,,,,,,,,
September,,2018,161,employee self service,,269,,,,,,,,,,
July,7,2019,161,codes,,269,,,,,,,,,,
January,1,2020,161,codes,,269,,,,,,,,,,
February,2,2020,161,HUMAN RESOURCES,,269,,,,,,,,,,
April,,2014,160,jobs,,275,,,,,,,,,,
October,,2014,160,property maps,,275,,,,,,,,,,
May,,2017,160,criminal court,,275,,,,,,,,,,
May,,2017,160,property maps,,275,,,,,,,,,,
August,,2017,160,permits,,275,,,,,,,,,,
September,,2017,160,criminal court clerk,,275,,,,,,,,,,
December,,2017,160,property taxes,,275,,,,,,,,,,
January,1,2019,160,maps,,275,,,,,,,,,,
April,,2017,159,criminal court,,283,,,,,,,,,,
April,,2018,159,jobs,,283,,,,,,,,,,
February,2,2019,159,human resources,,283,,,,,,,,,,
October,10,2019,159,codes,,283,,,,,,,,,,
December,,2014,158,ebid,,287,,,,,,,,,,
March,,2017,158,codes,,287,,,,,,,,,,
April,,2017,158,criminal court clerk,,287,,,,,,,,,,
April,,2017,158,Nashville,,287,,,,,,,,,,
May,,2017,158,jobs,,287,,,,,,,,,,
June,,2017,158,jobs,,287,,,,,,,,,,
November,,2017,158,ebid,,287,,,,,,,,,,
June,,2018,158,parcel viewer,,287,,,,,,,,,,
September,,2018,158,employment,,287,,,,,,,,,,
October,10,2019,158,jobs,,287,,,,,,,,,,
October,,2017,157,employee self service,,297,,,,,,,,,,
June,,2015,156,property maps,,298,,,,,,,,,,
March,,2017,156,Nashville,,298,,,,,,,,,,
December,,2017,156,ebid,,298,,,,,,,,,,
March,,2018,156,employment,,298,,,,,,,,,,
April,,2018,156,Nashville,,298,,,,,,,,,,
April,,2018,156,employment,,298,,,,,,,,,,
May,,2018,156,civil service,,298,,,,,,,,,,
May,,2018,156,maps,,298,,,,,,,,,,
August,8,2019,156,codes,,298,,,,,,,,,,
October,,2014,155,jobs,,307,,,,,,,,,,
August,,2015,155,ebid,,307,,,,,,,,,,
September,,2017,155,ess,,307,,,,,,,,,,
November,,2017,155,maps,,307,,,,,,,,,,
March,3,2019,155,2019-0163437,,307,,,,,,,,,,
June,6,2019,155,payroll,,307,,,,,,,,,,
March,,2017,154,ess,,313,,,,,,,,,,
October,,2017,154,pension calculator,,313,,,,,,,,,,
December,,2017,154,property tax,,313,,,,,,,,,,
March,,2018,154,ess,,313,,,,,,,,,,
June,,2018,154,maps,,313,,,,,,,,,,
August,,2018,154,zoning,,313,,,,,,,,,,
September,,2018,154,police,,313,,,,,,,,,,
January,1,2020,154,maps,,313,,,,,,,,,,
November,,2014,153,animal control,,321,,,,,,,,,,
November,,2014,153,property maps,,321,,,,,,,,,,
October,,2017,153,police report,,321,,,,,,,,,,
March,,2018,153,Nashville,,321,,,,,,,,,,
May,,2018,153,police,,321,,,,,,,,,,
June,,2018,153,employee self service,,321,,,,,,,,,,
August,,2018,153,ebid,,321,,,,,,,,,,
April,4,2019,153,Human Resources,,321,,,,,,,,,,
January,1,2020,153,employment,,321,,,,,,,,,,
April,,2014,152,maps,,330,,,,,,,,,,
April,,2017,152,civil service,,330,,,,,,,,,,
May,,2017,152,property taxes,,330,,,,,,,,,,
October,,2017,152,criminal court clerk,,330,,,,,,,,,,
January,,2018,152,property taxes,,330,,,,,,,,,,
April,,2018,152,ebid,,330,,,,,,,,,,
October,,2018,152,Early voting,,330,,,,,,,,,,
October,,2018,152,police report,,330,,,,,,,,,,
December,12,2019,152,human resources,,330,,,,,,,,,,
July,,2014,151,property maps,,339,,,,,,,,,,
July,,2017,151,zoning,,339,,,,,,,,,,
May,,2018,151,jobs,,339,,,,,,,,,,
November,,2018,151,ess,,339,,,,,,,,,,
November,,2018,151,Nashville,,339,,,,,,,,,,
November,,2018,151,civil service rules,,339,,,,,,,,,,
December,12,2019,151,jobs,,339,,,,,,,,,,
February,,2017,150,codes,,346,,,,,,,,,,
March,,2017,150,employment,,346,,,,,,,,,,
May,,2017,150,property tax,,346,,,,,,,,,,
October,,2017,150,Nashville,,346,,,,,,,,,,
October,,2017,150,civil service,,346,,,,,,,,,,
July,7,2019,150,jobs,,346,,,,,,,,,,
February,2,2020,150,zoning,,346,,,,,,,,,,
July,,2016,149,maps,,353,,,,,,,,,,
March,,2017,149,zoning,,353,,,,,,,,,,
July,,2017,149,property maps,,353,,,,,,,,,,
December,,2017,149,employment,,353,,,,,,,,,,
March,,2018,149,zoning,,353,,,,,,,,,,
February,,2015,148,jobs,,358,,,,,,,,,,
May,,2015,148,ebid,,358,,,,,,,,,,
June,,2015,148,maps,,358,,,,,,,,,,
April,,2017,148,NAZA,,358,,,,,,,,,,
November,,2017,148,jobs,,358,,,,,,,,,,
April,,2018,148,property tax,,358,,,,,,,,,,
September,,2018,148,Nashville,,358,,,,,,,,,,
October,,2018,148,sample ballot,,358,,,,,,,,,,
September,9,2019,148,police,,358,,,,,,,,,,
October,,2014,147,early voting,,367,,,,,,,,,,
August,,2015,147,animal control,,367,,,,,,,,,,
April,,2016,147,districts,,367,,,,,,,,,,
June,,2017,147,ess,,367,,,,,,,,,,
May,5,2019,147,ess,,367,,,,,,,,,,
February,2,2020,147,jobs,,367,,,,,,,,,,
February,2,2020,147,police report,,367,,,,,,,,,,
January,,2015,146,jobs,,374,,,,,,,,,,
May,,2015,146,property maps,,374,,,,,,,,,,
May,,2015,146,human resources,,374,,,,,,,,,,
August,,2016,146,ebid,,374,,,,,,,,,,
February,,2017,146,ess,,374,,,,,,,,,,
April,,2017,146,Property tax,,374,,,,,,,,,,
April,,2017,146,opportunity now,,374,,,,,,,,,,
July,,2017,146,civil service,,374,,,,,,,,,,
August,,2017,146,Nashville,,374,,,,,,,,,,
September,,2017,146,property maps,,374,,,,,,,,,,
October,,2017,146,holidays,,374,,,,,,,,,,
July,,2018,146,early voting,,374,,,,,,,,,,
July,,2018,146,civil service,,374,,,,,,,,,,
August,,2018,146,Jobs,,374,,,,,,,,,,
March,,2014,145,property maps,,388,,,,,,,,,,
May,,2017,145,Nashville,,388,,,,,,,,,,
May,,2018,145,election commission,,388,,,,,,,,,,
October,,2018,145,ebid,,388,,,,,,,,,,
March,,2014,144,maps,,392,,,,,,,,,,
July,,2014,144,animal control,,392,,,,,,,,,,
August,,2014,144,jobs,,392,,,,,,,,,,
January,,2015,144,ess,,392,,,,,,,,,,
April,,2016,144,District map,,392,,,,,,,,,,
June,,2017,144,property maps,,392,,,,,,,,,,
July,,2017,144,civil service rules,,392,,,,,,,,,,
October,,2017,144,civil service rules,,392,,,,,,,,,,
November,,2017,144,employee self service,,392,,,,,,,,,,
August,,2018,144,employee self service,,392,,,,,,,,,,
October,,2018,144,property taxes,,392,,,,,,,,,,
May,,2015,143,animal control,,403,,,,,,,,,,
August,,2018,143,building permit,,403,,,,,,,,,,
October,10,2019,143,police report,,403,,,,,,,,,,
December,12,2019,143,codes,,403,,,,,,,,,,
January,,2015,142,animal control,,407,,,,,,,,,,
March,,2017,142,public works,,407,,,,,,,,,,
July,,2017,142,public works,,407,,,,,,,,,,
October,,2017,142,jobs,,407,,,,,,,,,,
December,,2017,142,jobs,,407,,,,,,,,,,
October,,2018,142,payroll,,407,,,,,,,,,,
October,,2018,142,employee self service,,407,,,,,,,,,,
June,,2017,141,property taxes,,414,,,,,,,,,,
June,,2018,141,property taxes,,414,,,,,,,,,,
June,,2018,141,Nashville,,414,,,,,,,,,,
July,,2018,141,ess,,414,,,,,,,,,,
October,,2018,141,civil service,,414,,,,,,,,,,
March,3,2019,141,jobs,,414,,,,,,,,,,
August,8,2019,141,ESS,,414,,,,,,,,,,
February,,2014,140,maps,,421,,,,,,,,,,
February,,2014,140,property maps,,421,,,,,,,,,,
April,,2014,140,property maps,,421,,,,,,,,,,
July,,2014,140,police,,421,,,,,,,,,,
October,,2015,140,animal control,,421,,,,,,,,,,
May,,2017,140,zoning,,421,,,,,,,,,,
May,,2017,140,short term rental,,421,,,,,,,,,,
September,,2017,140,Annual enrollment,,421,,,,,,,,,,
June,,2018,140,criminal court clerk,,421,,,,,,,,,,
June,,2018,140,civil service rules,,421,,,,,,,,,,
August,,2018,140,jobs,,421,,,,,,,,,,
June,6,2019,140,jobs,,421,,,,,,,,,,
November,11,2019,140,human resources,,421,,,,,,,,,,
November,11,2019,140,police report,,421,,,,,,,,,,
December,12,2019,140,Accident report,,421,,,,,,,,,,
December,12,2019,140,holidays,,421,,,,,,,,,,
February,,2015,139,property taxes,,437,,,,,,,,,,
September,,2017,139,employment,,437,,,,,,,,,,
October,,2017,139,2018 annual enrollment employees,,437,,,,,,,,,,
November,,2017,139,payroll,,437,,,,,,,,,,
November,,2017,139,dcso,,437,,,,,,,,,,
December,,2017,139,payroll,,437,,,,,,,,,,
January,,2018,139,short term rental,,437,,,,,,,,,,
January,,2018,139,public works,,437,,,,,,,,,,
April,,2018,139,police,,437,,,,,,,,,,
May,,2018,139,building permit,,437,,,,,,,,,,
July,,2018,139,employment,,437,,,,,,,,,,
November,,2018,139,dcso,,437,,,,,,,,,,
April,4,2019,139,ess,,437,,,,,,,,,,
August,8,2019,139,Employee self service,,437,,,,,,,,,,
July,,2016,138,ebid,,451,,,,,,,,,,
October,,2016,138,maps,,451,,,,,,,,,,
February,,2017,138,Nashville,,451,,,,,,,,,,
November,,2017,138,codes,,451,,,,,,,,,,
December,12,2019,138,employee self service,,451,,,,,,,,,,
December,,2014,137,police,,456,,,,,,,,,,
August,,2015,137,Nashville,,456,,,,,,,,,,
August,,2016,137,maps,,456,,,,,,,,,,
September,,2016,137,jobs,,456,,,,,,,,,,
March,,2017,137,permits,,456,,,,,,,,,,
June,,2017,137,civil service,,456,,,,,,,,,,
October,,2017,137,benefits,,456,,,,,,,,,,
March,,2018,137,employee self service,,456,,,,,,,,,,
October,,2018,137,Annual enrollment,,456,,,,,,,,,,
November,,2018,137,property taxes,,456,,,,,,,,,,
October,10,2019,137,Employee self service,,456,,,,,,,,,,
February,,2016,136,ebid,,467,,,,,,,,,,
February,,2017,136,human resources,,467,,,,,,,,,,
November,,2017,136,employment,,467,,,,,,,,,,
December,,2017,136,dcso,,467,,,,,,,,,,
March,,2018,136,ebid,,467,,,,,,,,,,
May,,2018,136,property maps,,467,,,,,,,,,,
May,,2018,136,payroll,,467,,,,,,,,,,
December,12,2019,136,zoning,,467,,,,,,,,,,
June,,2014,135,jobs,,475,,,,,,,,,,
March,,2016,135,jobs,,475,,,,,,,,,,
February,,2017,135,ebid,,475,,,,,,,,,,
March,,2017,135,ebid,,475,,,,,,,,,,
April,,2017,135,employee self service,,475,,,,,,,,,,
May,,2017,135,permits,,475,,,,,,,,,,
August,,2017,135,ess,,475,,,,,,,,,,
March,,2018,135,property maps,,475,,,,,,,,,,
August,,2018,135,pay plan,,475,,,,,,,,,,
September,,2018,135,civil service,,475,,,,,,,,,,
April,4,2019,135,Jobs,,475,,,,,,,,,,
July,7,2019,135,Employee self service,,475,,,,,,,,,,
February,,2014,134,jobs,,487,,,,,,,,,,
June,,2014,134,animal control,,487,,,,,,,,,,
June,,2014,134,police,,487,,,,,,,,,,
August,,2016,134,human resources,,487,,,,,,,,,,
August,,2017,134,dcso,,487,,,,,,,,,,
October,,2017,134,employment,,487,,,,,,,,,,
January,,2018,134,civil service,,487,,,,,,,,,,
July,,2018,134,public works,,487,,,,,,,,,,
November,11,2019,134,codes,,487,,,,,,,,,,
May,,2014,133,employment,,496,,,,,,,,,,
September,,2015,133,animal control,,496,,,,,,,,,,
August,,2016,133,Nashville,,496,,,,,,,,,,
April,,2017,133,public works,,496,,,,,,,,,,
November,,2017,133,zoning,,496,,,,,,,,,,
December,,2017,133,employee self service,,496,,,,,,,,,,
January,,2018,133,police,,496,,,,,,,,,,
June,,2018,133,employment,,496,,,,,,,,,,
August,,2018,133,police report,,496,,,,,,,,,,
September,,2018,133,Annual enrollment,,496,,,,,,,,,,
October,,2018,133,property tax,,496,,,,,,,,,,
February,2,2019,133,property tax,,496,,,,,,,,,,
March,3,2019,133,codes,,496,,,,,,,,,,
August,,2014,132,police,,509,,,,,,,,,,
October,,2015,132,ebid,,509,,,,,,,,,,
February,,2017,132,accident report,,509,,,,,,,,,,
May,,2017,132,criminal court clerk,,509,,,,,,,,,,
June,,2017,132,employment,,509,,,,,,,,,,
October,,2017,132,property maps,,509,,,,,,,,,,
June,,2018,132,building permit,,509,,,,,,,,,,
July,,2018,132,police,,509,,,,,,,,,,
January,1,2019,132,employment,,509,,,,,,,,,,
December,12,2019,132,Police report,,509,,,,,,,,,,
January,1,2020,132,inmate search,,509,,,,,,,,,,
January,1,2020,132,Property Maps,,509,,,,,,,,,,
February,2,2020,132,property taxes,,509,,,,,,,,,,
September,,2015,131,ebid,,522,,,,,,,,,,
October,,2016,131,human resources,,522,,,,,,,,,,
July,,2017,131,dcso,,522,,,,,,,,,,
October,,2017,131,payroll,,522,,,,,,,,,,
January,,2018,131,permits,,522,,,,,,,,,,
August,,2018,131,Payroll,,522,,,,,,,,,,
August,,2018,131,public works,,522,,,,,,,,,,
November,,2018,131,police report,,522,,,,,,,,,,
October,10,2019,131,accident report,,522,,,,,,,,,,
December,12,2019,131,Inmate search,,522,,,,,,,,,,
January,1,2020,131,police report,,522,,,,,,,,,,
December,,2014,130,animal control,,533,,,,,,,,,,
April,,2015,130,maps,,533,,,,,,,,,,
February,,2016,130,maps,,533,,,,,,,,,,
March,,2017,130,employee self service,,533,,,,,,,,,,
March,,2017,130,payroll,,533,,,,,,,,,,
November,,2017,130,Payroll,,533,,,,,,,,,,
November,,2017,130,ess,,533,,,,,,,,,,
January,,2018,130,Payroll,,533,,,,,,,,,,
March,,2018,130,parcel viewer,,533,,,,,,,,,,
June,6,2019,130,ESS,,533,,,,,,,,,,
